postcode,postcode_space,postcode area,Average_download_speed_Mbit_s,Maximum_download_speed_Mbit_s,Minimum_download_speed_Mbit_s,Average_upload_speed_Mbit_s,Maximum_upload_speed_Mbit_s,Minimum_upload_speed_Mbit_s,Average_data_usage_GB,All Premises,All Matched Premises,lsoa_area,county
BS162JN,BS16 2JN,BS,4.096009841541162,4.675628649636653,2.379546134130174,1.5686159179138452,1.9459101490553132,0.6931471805599453,4.23410650459726,2.1972245773362196,2.1972245773362196,Bristol 012C,"Bristol, City of"
BS162JQ,BS16 2JQ,BS,4.471638793363569,5.303304908059076,2.5257286443082556,1.8082887711792655,2.5649493574615367,0.6418538861723947,5.356586274672012,2.5649493574615367,2.5649493574615367,Bristol 012C,"Bristol, City of"
BS162JW,BS16 2JW,BS,4.583946549536464,5.303304908059076,3.131136910560194,2.312535423847214,3.039749158970765,0.6418538861723947,5.298317366548036,2.3978952727983707,2.3978952727983707,Bristol 012C,"Bristol, City of"
BS162LA,BS16 2LA,BS,3.9531649487593215,4.675628649636653,2.2082744135228043,1.9459101490553132,3.044522437723423,0.3364722366212129,5.017279836814924,2.833213344056216,2.833213344056216,Bristol 013C,"Bristol, City of"
BS162LD,BS16 2LD,BS,2.970414465569701,3.742420221041966,0.26236426446749106,1.0296194171811581,2.379546134130174,0.4054651081081644,5.176149732573829,3.1780538303479458,3.1780538303479458,Bristol 013E,"Bristol, City of"
BS162LF,BS16 2LF,BS,4.26689632742025,4.675628649636653,3.0106208860477417,1.9600947840472698,3.044522437723423,0.7884573603642703,5.214935757608986,2.6390573296152584,2.6390573296152584,Bristol 013E,"Bristol, City of"
BS162LG,BS16 2LG,BS,3.9646154555473165,4.61512051684126,2.954910279033736,1.3862943611198906,1.9459101490553132,0.6931471805599453,6.194405391104672,1.9459101490553132,1.9459101490553132,Bristol 013E,"Bristol, City of"
BS162LH,BS16 2LH,BS,4.3694478524670215,5.303304908059076,2.5257286443082556,2.128231705849268,3.044522437723423,0.6931471805599453,5.19295685089021,2.833213344056216,2.833213344056216,Bristol 012C,"Bristol, City of"
BS162LJ,BS16 2LJ,BS,4.069026754237811,5.030437921392435,2.975529566236472,1.9878743481543455,3.044522437723423,0.5306282510621704,5.82600010738045,2.302585092994046,2.302585092994046,Bristol 012C,"Bristol, City of"
BS162LL,BS16 2LL,BS,4.403054001865957,5.303304908059076,2.653241964607215,2.163323025660538,3.044522437723423,0.6931471805599453,5.783825182329737,3.5553480614894135,3.5553480614894135,Bristol 013E,"Bristol, City of"
BS162LN,BS16 2LN,BS,4.423648309364701,5.707110264748875,2.5416019934645457,2.0149030205422647,3.044522437723423,0.3364722366212129,5.402677381872279,3.5553480614894135,3.5553480614894135,Bristol 013E,"Bristol, City of"
BS162LP,BS16 2LP,BS,4.07753744390572,4.61512051684126,2.653241964607215,1.8562979903656263,3.044522437723423,0.3364722366212129,5.236441962829949,3.295836866004329,3.295836866004329,Bristol 013E,"Bristol, City of"
BS162LQ,BS16 2LQ,BS,3.885679030088544,5.017279836814924,2.72785282839839,1.7749523509116738,2.9806186357439426,0.6931471805599453,5.645446897643238,2.833213344056216,2.833213344056216,Bristol 013E,"Bristol, City of"
BS162LR,BS16 2LR,BS,4.603168183317418,5.303304908059076,2.954910279033736,2.2082744135228043,3.0204248861443626,0.3364722366212129,5.455321115357702,3.295836866004329,3.295836866004329,Bristol 012C,"Bristol, City of"
BS162LS,BS16 2LS,BS,4.541164856012179,5.303304908059076,2.8678989020441064,2.163323025660538,3.044522437723423,0.6931471805599453,5.902633333401366,2.833213344056216,2.833213344056216,Bristol 012C,"Bristol, City of"
BS162LW,BS16 2LW,BS,4.257030144499196,5.303304908059076,2.4595888418037104,2.0149030205422647,3.044522437723423,0.47000362924573563,5.521460917862246,3.2188758248682006,3.2188758248682006,Bristol 013E,"Bristol, City of"
BS162NA,BS16 2NA,BS,3.5085558999826545,4.394449154672439,0.9162907318741551,2.0412203288596382,3.044522437723423,0.5306282510621704,4.8283137373023015,3.9318256327243257,3.9318256327243257,Bristol 013E,"Bristol, City of"
BS162NB,BS16 2NB,BS,3.9908341858524357,4.675628649636653,2.5877640352277083,1.7227665977411035,3.044522437723423,0.5306282510621704,5.673323267171493,3.367295829986474,3.367295829986474,Bristol 013E,"Bristol, City of"
BS162ND,BS16 2ND,BS,3.711130063048756,4.61512051684126,1.1314021114911006,1.252762968495368,1.9459101490553132,0.4054651081081644,5.043425116919247,1.9459101490553132,1.9459101490553132,Bristol 013B,"Bristol, City of"
BS162NE,BS16 2NE,BS,4.473921899378137,5.707110264748875,2.8154087194227095,1.9459101490553132,3.044522437723423,0.6931471805599453,5.749392985908253,3.367295829986474,3.367295829986474,Bristol 013B,"Bristol, City of"
BS162NF,BS16 2NF,BS,3.9684033388642534,5.017279836814924,2.2192034840549946,1.7404661748405046,3.0155349008501706,0.6418538861723947,5.932245187448011,3.367295829986474,3.367295829986474,Bristol 013D,"Bristol, City of"
BS162NG,BS16 2NG,BS,4.048300623720694,4.61512051684126,2.322387720290225,1.6486586255873816,2.3978952727983707,0.5877866649021191,5.834810737062605,2.5649493574615367,2.5649493574615367,Bristol 013B,"Bristol, City of"
BS162NH,BS16 2NH,BS,4.29592393562047,4.61512051684126,2.4849066497880004,1.8870696490323797,2.580216829592325,0.4054651081081644,5.568344503761097,3.044522437723423,3.044522437723423,Bristol 013B,"Bristol, City of"
BS162NJ,BS16 2NJ,BS,4.147885329150131,5.303304908059076,2.0412203288596382,1.9021075263969205,2.5649493574615367,0.4054651081081644,5.545177444479562,3.1354942159291497,3.1354942159291497,Bristol 013B,"Bristol, City of"
BS162NL,BS16 2NL,BS,4.139955073474153,5.303304908059076,2.33214389523559,1.7749523509116738,2.5649493574615367,0.6931471805599453,4.5217885770490405,3.367295829986474,3.367295829986474,Bristol 013B,"Bristol, City of"
BS162NN,BS16 2NN,BS,4.268297869345539,5.303304908059076,2.2082744135228043,2.1041341542702074,3.044522437723423,0.3364722366212129,5.7899601708972535,3.258096538021482,3.258096538021482,Bristol 013B,"Bristol, City of"
BS162NX,BS16 2NX,BS,3.242592351485517,3.713572066704308,3.0007198150650303,1.4816045409242156,2.3978952727983707,0.7419373447293773,6.182084906716632,1.9459101490553132,1.9459101490553132,Bristol 013B,"Bristol, City of"
BS162PA,BS16 2PA,BS,4.485259889315534,5.303304908059076,2.0794415416798357,1.9878743481543455,2.5649493574615367,0.6931471805599453,5.4510384535657,2.6390573296152584,2.6390573296152584,Bristol 013D,"Bristol, City of"
